"NAME","TICKER","COUNTRY","ICB","INDUS","SUP SEC","SEC","SUB SEC"
"CARBO Ceramics Inc.","CRR","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Stone Energy Corp.","SGY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Bristow Group Inc.","BRS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"McMoRan Exploration Co.","MMR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Forest Oil Corp.","FST","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Kosmos Energy Ltd.","KOS","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Targa Resources Corp.","TRGP","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Gulfmark Offshore Inc. (Cl A)","GLF","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Swift Energy Co.","SFY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Hornbeck Offshore Services Inc.","HOS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Bill Barrett Corp.","BBG","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"EXCO Resources Inc.","XCO","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Western Refining Inc.","WNR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Semgroup Corp. Cl A","SEMG","United States","0577","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Pipelines"
"W&T Offshore Inc.","WTI","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Magnum Hunter Resources Corp.","MHR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Exterran Holdings Inc.","EXH","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"ION Geophysical Corp.","IO","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"RPC Inc.","RES","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Tetra Technologies Inc.","TTI","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Parker Drilling Co.","PKD","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Quicksilver Resources Inc.","KWK","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Comstock Resources Inc.","CRK","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Newpark Resources Inc.","NR","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Advantage Oil & Gas Ltd.","AAV","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Lone Pine Resources Inc.","LPR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Resolute Energy Corp.","REN","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
