Company Name ,Ticker Symbol ,GICS Sector ,Country ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
Fresnillo plc,FRES LN,Materials,Mexico,61,E,285788,414552
Gas Natural SDG SA,GAS SM,Utilities,Spain,99,A,23177862.46,953498.4
Gazprom OAO,GAZP RM,Energy,Russia,57,E,137184240,0
GDF Suez,GSZ FP,Utilities,France,92,B,156899254,3357343
General Electric Company,GE US,Industrials,USA,73,C,2180000,2910000
General Mills Inc.,GIS US,Consumer Staples,USA,68,C,271000,723000
General Motors Company,GM US,Consumer Discretionary,USA,87,B,2310819,5329095
"Gilead Sciences, Inc.",GILD US,Health Care,USA,96,B,30472,35014
GlaxoSmithKline,GSK LN,Health Care,United Kingdom,90,B,1016974,857256
Goldcorp Inc.,G CN,Materials,Canada,71,C,667800,743900
Goldman Sachs Group Inc.,GS US,Financials,USA,95,B,11787,321641
Google Inc.,GOOG US,Information Technology,USA,95,B,29563,1439703
H&M Hennes & Mauritz AB,HMB SS,Consumer Discretionary,Sweden,61,D,17543,324958
H.J. Heinz Company,HNZ US,Consumer Staples,USA,89,B,507796,356134
Halliburton Company,HAL US,Energy,USA,72,D,4246608,152519
Hang Seng Bank,11 HK,Financials,Hong Kong,30,,,23620
HCP Inc.,HCP US,Financials,USA,77,D,25694,207500
HDFC Bank Ltd,HDFCB IN,Financials,India,71,,4880,271542
Heineken NV,HEIA NA,Consumer Staples,Netherlands,88,B,1172887,765658
Hess Corporation,HES US,Energy,USA,97,B,8509069,547837
Hewlett-Packard,HPQ US,Information Technology,USA,92,B,276449,1724377
"Hitachi, Ltd.",6501 JP,Industrials,Japan,86,C,968128,3006119
Holcim Ltd,HOLN VX,Materials,Switzerland,93,B,106567444,6487851
Honda Motor Company,7267 JP,Consumer Discretionary,Japan,96,B,1240000,2960000
Honeywell International Inc.,HON US,Industrials,USA,22,,5931000,2274000
HSBC Holdings plc,HSBA LN,Financials,United Kingdom,86,B,73721,725344
Husky Energy Inc.,HSE CN,Energy,Canada,70,D,8490499,1448114
Hyundai Mobis,012330 KS,Consumer Discretionary,South Korea,77,C,65255,291872
Hyundai Motor,005380 KS,Consumer Discretionary,South Korea,88,B,821374,1462421
Iberdrola SA,IBE SM,Utilities,Spain,95,A,36193156,5188706
ICICI Bank Limited,ICICIBC IN,Financials,India,74,,3414.66,63989.43
Imperial Oil,IMO CN,Energy,Canada,61,D,10285400,1377800
Imperial Tobacco Group,IMT LN,Consumer Staples,United Kingdom,75,D,149714,160973
Inditex,ITX SM,Consumer Discretionary,Spain,81,B,21919,291413
Industrias Peñoles,PE&OLES* MM,Materials,Mexico,37,,674544,936419
Infosys Limited,INFO IN,Information Technology,India,72,C,20294,158659
ING Group,INGA NA,Financials,Netherlands,93,B,28040,201076
Inpex Corporation,1605 JP,Energy,Japan,69,D,466568,22240
Intel Corporation,INTC US,Information Technology,USA,88,A,885416,2214130
International Business Machines (IBM),IBM US,Information Technology,USA,86,B,535387,2199567
Intesa Sanpaolo S.p.A,ISP IM,Financials,Italy,91,A,55058,242700
Intuit Inc.,INTU US,Information Technology,USA,73,D,6769,39494
Itaú Unibanco Holding S.A.,ITUB4 BZ,Financials,Brazil,76,C,5915.6,24729.8
Itausa Investimentos Itau S.A.,ITSA4 BZ,Financials,Brazil,84,B,353567.48,124674.03
ITC Limited,ITC IN,Consumer Staples,India,82,B,1156677.72,160276.5
Johnson & Johnson,JNJ US,Health Care,USA,93,B,329669,891562
Johnson Controls,JCI US,Consumer Discretionary,USA,92,B,831783,1542453
JPMorgan Chase & Co.,JPM US,Financials,USA,89,B,92413,1231178
KDDI Corporation,9433 JP,Telecommunication Services,Japan,75,D,0,971201
Kellogg Company,K US,Consumer Staples,USA,81,C,566988,722411
Kimberly-Clark Corporation,KMB US,Consumer Staples,USA,74,D,2530334,3027447
Komatsu Ltd.,6301 JP,Industrials,Japan,83,D,147696,424186
Koninklijke KPN NV (Royal KPN),KPN NA,Telecommunication Services,Netherlands,94,A,68654,480951
Kraft Foods,KRFT US,Consumer Staples,USA,84,B,1634473,1705618
Kumba Iron Ore,KIO SJ,Materials,South Africa,88,C,387813,519329
LG Chem,051910 KS,Materials,South Korea,93,B,4207796,1679829
Linde AG,LIN GR,Materials,Germany,93,B,6700000,10200000
Lloyds Banking Group,LLOY LN,Financials,United Kingdom,85,B,57179,321698
Lockheed Martin Corporation,LMT US,Industrials,USA,93,A,309529,1011104
L'Oréal,OR FP,Consumer Staples,France,94,B,71012,121627
"Lowe's Companies, Inc.",LOW US,Consumer Discretionary,USA,83,C,292747,2605669
LVMH,MC FP,Consumer Discretionary,France,65,D,40890,272546
Marathon Oil Corporation,MRO US,Energy,USA,55,D,2856000,903000
"Marsh & McLennan Companies, Inc.",MMC US,Financials,USA,91,B,126.69,99842.02
"Medtronic, Inc.",MDT US,Health Care,USA,49,,23596,217148
"Merck & Co., Inc.",MRK US,Health Care,USA,83,B,1135597,951450
"MetLife, Inc.",MET US,Financials,USA,84,C,10598,15486
Microsoft Corporation,MSFT US,Information Technology,USA,99,B,40848,1186492
Mitsubishi Corporation,8058 JP,Industrials,Japan,65,D,3205957,1910459
Mitsubishi Electric Corporation,6503 JP,Information Technology,Japan,60,D,362000,814000
