"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ECA","Encana Corporation","18.49","13700377580.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"NDRO","Enduro Royalty Trust","9.23","304590000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ndro",
"EGN","Energen Corporation","62.3","4560024763.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"EXXI","Energy XXI (Bermuda) Limited","7.98","749065091.88","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
"ENRJ","EnerJex Resources, Inc.","6.22","47540169.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ERF","Enerplus Corporation","15.41","3165565163.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","41.77","75899960617.05","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","39.56","9269241886.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ENSV","ENSERVCO Corporation","2.88","106114023.36","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"EOG","EOG Resources, Inc.","93.4","51132345007.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","14.6","3588121929.6","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epe",
"EQT","EQT Corporation","87.65","13279150300","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eqt",
"ESCR","Escalera Resources Co.","1.47","20963523","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/escr",
"ESCRP","Escalera Resources Co.","21.99","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/escrp",
"EVEP","EV Energy Partners, L.P.","33.14","1609676709.66","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EPM","Evolution Petroleum Corporation, Inc.","9.19","301371474.66","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"XCO","EXCO Resources NL","2.8","763658565.6","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xco",
"XOM","Exxon Mobil Corporation","94.11","401350166755.08","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/xom",
"FPP","FieldPoint Petroleum Corporation","3.04","24670749.12","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"FTI","FMC Technologies, Inc.","54.41","12778592820.71","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fti",
"FES","Forbes Energy Services Ltd","3.12","67990175.76","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fes",
"FELP","Foresight Energy LP","17.58","2277494098.2","n/a","2014","Energy","Coal Mining","http://www.nasdaq.com/symbol/felp",
"FST","Forest Oil Corporation","1.15","137239345.15","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fst",
"FET","Forum Energy Technologies, Inc.","26.12","2451450311.72","n/a","2012","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fet",
"FI","Frank&#39;s International N.V.","17.47","2682064280","n/a","2013","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fi",
"FXEN","FX Energy, Inc.","2.94","158984663.04","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fxen",
"FXENP","FX Energy, Inc.","22","17600000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fxenp",
"GST","Gastar Exploration Inc.","4.03","249037972.69","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"GE","General Electric Company","25.44","255262511501.76","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/ge",
"GEL","Genesis Energy, L.P.","49.41","4382221568.85","n/a","1996","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/gel",
"GPRK","Geopark Ltd","8.1","468695281.5","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gprk",
"GLP","Global Partners LP","39.98","1096673908.74","n/a","2005","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/glp",
"GLRI","Glori Energy Inc","5.58","164146642.38","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/glri",
