"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_apa"">28.24B</span>",37.26B,24.06,12.06,-10.19,1.81,0.85,2.40,3.47,Dec 31,"Jun 30, 2014",7.88%,33.52%,5.22%,5.73%,15.50B,39.35,-8.90%,13.05B,10.72B,1.67B,3.07,-51.20%,524.00M,1.37,9.68B,27.73,1.12,85.67,9.09B,-2.60B,1.48,-19.76%,6.78%,104.57,69.28,91.88,93.62,"3,060,710","5,112,590",382.47M,380.40M,0.43%,84.40%,6.64M,2.90,1.70%,7.28M,1.00,1.30%,0.90,1.20%,0.70%,28.00%,"Nov 21, 2014","Oct 20, 2014",2:1,"Jan 15, 2004"
"Friday October 17, 2014","<span id=""yfs_j10_mt"">20.69B</span>",37.98B,N/A,10.12,0.47,0.25,0.42,0.48,4.93,Dec 31,"Jun 30, 2014",-1.97%,4.12%,1.85%,-2.95%,79.98B,44.66,2.50%,4.19B,7.71B,-1.63B,-0.91,N/A,4.21B,2.55,21.83B,41.81,1.34,29.58,3.32B,1.71B,2.02,-22.77%,6.78%,17.92,11.88,13.80,14.92,"5,932,140","10,288,200",1.65B,998.40M,N/A,N/A,35.86M,6.20,N/A,31.33M,0.17,1.40%,N/A,N/A,2.30%,N/A,"Jul 15, 2014","May 12, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_g"">3.43B</span>",3.88B,17.01,13.42,1.24,1.57,2.84,1.78,10.19,Dec 31,"Jun 30, 2014",10.02%,14.00%,7.09%,18.41%,2.18B,9.59,5.00%,812.43M,380.59M,218.70M,0.93,-23.30%,376.80M,1.74,835.29M,69.27,1.78,5.57,296.99M,183.48M,1.00,-20.15%,6.78%,20.36,13.68,16.78,17.21,"531,214","487,662",216.33M,157.84M,0.32%,57.20%,439.68K,0.90,0.40%,318.78K,N/A,N/A,N/A,N/A,N/A,N/A,"Sep 24, 2012","Sep 6, 2012",N/A,N/A
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_azn"">85.23B</span>",89.63B,42.10,16.44,21.93,3.29,3.87,3.45,10.35,Dec 31,"Jun 30, 2014",7.79%,24.44%,7.05%,8.93%,25.96B,20.65,3.60%,20.45B,8.66B,2.02B,1.60,-3.30%,5.78B,4.57,10.07B,45.68,0.99,17.44,6.86B,3.69B,0.88,32.16%,6.78%,82.68,51.01,72.04,72.38,"2,433,270","3,118,090",1.26B,1.23B,N/A,N/A,2.53M,1.40,N/A,2.68M,1.80,2.60%,2.80,4.10%,3.20%,175.00%,"Sep 15, 2014","Aug 13, 2014",3:1,"Apr 8, 1998"
"Friday October 17, 2014","<span id=""yfs_j10_t"">176.48B</span>",247.71B,9.99,12.67,2.92,1.34,1.90,1.90,5.31,Dec 31,"Jun 30, 2014",13.75%,23.26%,6.70%,20.40%,130.37B,24.83,1.60%,77.29B,46.64B,17.93B,3.41,-7.20%,11.30B,2.18,84.56B,91.29,0.76,17.75,33.95B,12.61B,0.21,-2.80%,6.78%,37.48,31.74,34.88,35.28,"20,956,800","27,643,600",5.19B,5.18B,0.04%,62.10%,213.26M,13.00,4.10%,210.91M,1.84,5.40%,1.84,5.50%,5.50%,54.00%,"Nov 3, 2014","Oct 8, 2014",2:1,"Mar 20, 1998"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_adp"">34.91B</span>",34.82B,23.14,22.05,2.37,2.82,5.16,2.85,13.61,Jun 30,"Jun 30, 2014",12.42%,18.21%,4.32%,23.37%,12.21B,25.49,9.70%,4.99B,2.56B,1.50B,3.14,27.20%,1.82B,3.78,2.18B,32.75,1.08,13.89,1.82B,-788.72M,0.85,9.97%,6.78%,75.04,63.13,73.15,70.46,"1,619,670","2,186,220",480.91M,480.14M,0.18%,79.40%,4.12M,2.90,0.90%,4.62M,1.92,2.60%,1.69,2.40%,3.20%,60.00%,"Oct 1, 2014","Sep 10, 2014",16:73,"Apr 2, 2007"
"Friday October 17, 2014","<span id=""yfs_j10_cs"">40.90B</span>",-103.25B,"1,345.26",8.67,1.51,1.54,0.94,-3.95,N/A,Dec 31,"Jun 30, 2014",0.55%,15.48%,0.09%,1.79%,26.12B,16.21,-6.60%,N/A,N/A,-130.82M,0.02,N/A,475.98B,297.49,332.45B,N/A,N/A,26.78,-11.47B,N/A,1.64,-24.36%,6.78%,33.98,24.82,27.34,29.06,"1,103,090","2,426,520",1.60B,1.42B,N/A,N/A,2.72M,3.00,N/A,2.60M,0.79,3.00%,0.79,3.10%,2.60%,N/A,"May 23, 2014","May 13, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_bhi"">23.27B</span>",26.02B,18.58,10.15,0.37,0.97,1.25,1.12,6.37,Dec 31,"Jun 30, 2014",5.45%,10.00%,5.24%,7.16%,23.31B,52.92,8.20%,3.81B,4.08B,1.27B,2.88,47.10%,1.16B,2.67,4.56B,24.97,2.51,41.46,2.78B,1.19B,1.38,-6.37%,6.78%,75.64,47.51,64.18,68.66,"4,000,340","8,508,150",435.04M,433.79M,0.29%,91.80%,6.95M,2.10,1.60%,6.53M,0.68,1.30%,0.62,1.20%,1.30%,21.00%,"Aug 15, 2014","Jul 31, 2014",N/A,N/A
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_san"">104.17B</span>",242.48B,15.96,11.19,1.30,2.44,1.06,5.85,N/A,Dec 31,"Jun 30, 2014",14.86%,38.37%,0.50%,7.19%,41.44B,3.65,1.30%,N/A,N/A,6.16B,0.54,38.40%,214.21B,17.69,355.59B,N/A,N/A,7.85,1.39B,N/A,1.55,-10.12%,6.78%,10.75,8.15,9.58,9.93,"7,399,500","9,742,850",12.11B,11.90B,N/A,N/A,42.20M,5.40,N/A,37.34M,0.59,6.90%,0.81,9.70%,7.00%,107.00%,"Nov 13, 2014","Oct 15, 2014",2:1,"Jun 21, 1999"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_bac"">170.78B</span>",208.53B,25.45,10.95,4.37,1.98,0.76,2.44,N/A,Dec 31,"Jun 30, 2014",9.32%,29.57%,0.37%,3.40%,85.28B,8.04,-0.80%,N/A,N/A,6.92B,0.64,-42.90%,524.40B,49.87,559.42B,N/A,N/A,21.17,47.72B,N/A,1.42,9.91%,6.78%,18.03,13.80,16.64,15.82,"81,600,400","124,795,000",10.52B,10.50B,0.03%,58.70%,91.84M,1.10,0.90%,93.92M,0.20,1.20%,0.08,0.50%,0.40%,7.00%,"Sep 26, 2014","Sep 3, 2014",2:1,"Aug 30, 2004"
"Friday October 17, 2014","<span id=""yfs_j10_bmo"">45.72B</span>",-42.82B,12.13,10.03,1.22,3.16,1.69,-3.00,N/A,Oct 31,"Jul 31, 2014",26.86%,36.15%,0.77%,13.51%,14.25B,22.11,4.10%,N/A,N/A,3.73B,5.84,0.30%,184.96B,286.32,97.15B,N/A,N/A,41.25,-20.49B,N/A,0.91,-0.11%,6.78%,78.56,60.34,75.05,72.45,"400,235","606,562",646.00M,644.33M,N/A,N/A,6.52M,17.60,N/A,7.17M,2.78,3.90%,2.80,4.00%,4.80%,47.00%,"Nov 26, 2014","Oct 30, 2014",2:1,"Mar 15, 2001"
"Friday October 17, 2014","<span id=""yfs_j10_bns"">72.74B</span>",-68.47B,11.36,10.00,1.00,3.69,1.82,-3.55,N/A,Oct 31,"Jul 31, 2014",33.70%,44.42%,0.99%,16.26%,19.30B,15.93,17.10%,N/A,N/A,6.35B,5.26,36.10%,249.80B,205.23,110.06B,N/A,N/A,32.11,-21.01B,N/A,0.92,-2.02%,6.78%,68.71,53.94,63.61,64.00,"471,698","849,675",1.22B,1.21B,N/A,N/A,1.25M,2.70,N/A,1.58M,2.37,4.00%,2.35,4.00%,4.00%,44.00%,"Oct 29, 2014","Oct 3, 2014",2:1,"Apr 29, 2004"
"Friday October 17, 2014"
